BAS,Volatility - Term/TermSPEC,,,TRUE,FALSE,FALSE,@Linear,@Linear,@Constant,%,annual,actual/actual,FALSE,0,AUD_Swaption_Volatility_Surface,AUD_Swaption_Volatility_Surface,Volatility - Term/Term,Volatility - Term/TermSPEC
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.196090698,2920,9125,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.197434901,2920,10950,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.194547413,3285,365,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.191250431,3285,730,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.188125465,3285,1095,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.185068054,3285,1460,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.182071084,3285,1825,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.179122946,3285,2190,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.180629024,3285,2555,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.181621391,3285,2920,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.18222687,3285,3285,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.182565718,3285,3650,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.189895368,3285,5475,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.194704688,3285,7300,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.19704096,3285,9125,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.19823347,3285,10950,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.189318348,3650,365,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.186255312,3650,730,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.183225761,3650,1095,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.180246469,3650,1460,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.177309853,3650,1825,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.179487101,3650,2190,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.180893183,3650,2555,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.181760487,3650,2920,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.182269988,3650,3285,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.18253119,3650,3650,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.192181436,3650,5475,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.196412371,3650,7300,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.198215479,3650,9125,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.199214385,3650,10950,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.197937752,5475,365,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
